year,county,county_fips,diabetes_percentage,pct_american_indian_or_alaska_native,pct_asian_or_pacific_islander,pct_black_or_african_american,pct_white,pct_hispanic_or_latino,pct_not_hispanic_or_latino,pct_20-44,pct_45-64,pct_65-74,pct_75+,adult_smoking_percent,adult_obesity_percent,physical_inactivity_percent,rural
2011,franklin,37069,10,0.61,0.5,19.91,52.09,4.29,68.82,31.02,28.95,7.78,5.36,25.7,31.4,26.4,FALSE
2012,franklin,37069,11.8,0.6,0.5,20.04,52.39,4.22,69.32,30.77,28.94,8.3,5.53,27.2,34.6,28.5,FALSE
2013,franklin,37069,12.3,0.6,0.54,20.29,52.43,4.27,69.58,30.39,29.02,8.68,5.76,26.4,34.6,28.5,FALSE
2014,franklin,37069,12.3,0.64,0.55,20.23,52.78,4.27,69.93,30.19,28.99,9.19,5.84,26.7,33.4,28.6,FALSE
2010,gaston,37071,11.4,0.41,0.98,10.52,61.65,3.49,70.06,32.66,27.58,7.47,5.84,27.9,28.6,NA,FALSE
2011,gaston,37071,12.7,0.41,1.02,10.68,61.75,3.46,70.4,32.46,27.81,7.65,5.93,27.5,27.2,29.3,FALSE
2012,gaston,37071,13.4,0.43,1.05,10.83,61.78,3.5,70.59,32.21,27.71,8.16,6.01,26.7,26.4,29,FALSE
2013,gaston,37071,12.4,0.43,1.13,11.03,61.79,3.58,70.8,32.01,27.69,8.58,6.1,26.5,26.4,29,FALSE
2014,gaston,37071,11.2,0.43,1.16,11.27,61.77,3.67,70.98,31.88,27.72,8.88,6.16,25.8,27.3,28.6,FALSE
2010,gates,37073,11.4,0.48,0.21,24.96,48.28,0.94,72.99,28.24,30.65,8.89,6.15,14.3,33.4,NA,FALSE
2011,gates,37073,10.7,0.5,0.22,25.25,48.66,0.99,73.64,27.97,31.11,9.27,6.27,15.1,33.5,28.6,FALSE
2012,gates,37073,10.4,0.48,0.24,25.63,49.05,1.03,74.38,27.39,31.53,10.05,6.43,11,34.8,30.4,FALSE
2013,gates,37073,10.5,0.47,0.26,25.8,49.35,1.07,74.81,26.86,31.64,10.47,6.9,12.2,34.8,30.4,FALSE
